match_id,season,match_date,league,home_team,away_team,home_score,away_score,possession_home,possession_away,shots_home,shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,fouls_home,fouls_away,offsides_home,offsides_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goalkeeper_saves_home,goalkeeper_saves_away,Computed_Home_Elo,Computed_Away_Elo,Computed_Elo_Diff,Computed_HFA,Home_RestDays,Home_Shots_5,Home_SoT_5,Home_Corners_5,Home_Poss_5,Home_Goals_5,Home_Conceded_5,Home_Points_5,Home_YellowCards_5,Home_Saves_5,Away_RestDays,Away_Shots_5,Away_SoT_5,Away_Corners_5,Away_Poss_5,Away_Goals_5,Away_Conceded_5,Away_Points_5,Away_YellowCards_5,Away_Saves_5,Home_H2H_Pts_3,Away_H2H_Pts_3,Odd_Home,Odd_Draw,Odd_Away
IuJyWvkE,2020,2020-09-18 21:00:00,,Astra Giurgiu,CFR Cluj,0,2,44.0,56.0,3.0,11.0,1.0,5.0,2.0,6.0,4.0,6.0,3,2,0,0,16.0,6.0,0.0,2.0,8.0,16.0,20.0,27.0,3.0,1.0,1168.5086688286058,1217.6366393736002,-0.6023713837612377,48.52559916123313,5.0,4.666666666666667,2.3333333333333335,5.333333333333333,,0.6666666666666666,2.3333333333333335,0.3333333333333333,4.0,6.333333333333333,4.0,10.0,4.666666666666667,7.0,63.333333333333336,1.0,0.3333333333333333,2.3333333333333335,1.6666666666666667,0.3333333333333333,,,6.27,3.93,1.5
AwbGOdsl,2020,2020-09-19 19:00:00,,Sepsi Sf. Gheorghe,FC Viitorul,1,1,50.0,50.0,11.0,12.0,4.0,4.0,7.0,8.0,4.0,5.0,4,2,0,0,21.0,14.0,1.0,5.0,19.0,22.0,29.0,21.0,3.0,3.0,1191.4411403540546,1166.7620364996442,72.14588177666678,47.46677792225646,6.0,7.0,4.0,8.0,,0.6666666666666666,1.0,0.6666666666666666,2.3333333333333335,2.6666666666666665,4.0,7.666666666666667,3.0,4.0,45.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,2.0,3.3333333333333335,,,2.34,3.05,3.08
I31OMzC0,2020,2020-09-19 21:45:00,,Univ. Craiova,FC Voluntari,2,1,,,12.0,6.0,7.0,3.0,5.0,3.0,7.0,3.0,0,3,0,0,11.0,13.0,1.0,2.0,15.0,12.0,21.0,21.0,2.0,5.0,1240.3391363963933,1219.0842438010425,68.56813163861761,47.31323904326671,5.0,11.0,6.0,4.333333333333333,,2.3333333333333335,0.3333333333333333,3.0,1.0,2.0,7.0,8.0,3.6666666666666665,4.333333333333333,,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.6666666666666665,2.0,,,1.58,3.88,5.31
40yk8yc7,2020,2020-09-20 16:30:00,,FC Botosani,LPS HD Clinceni,0,0,54.0,46.0,10.0,5.0,3.0,3.0,7.0,2.0,8.0,2.0,1,5,0,0,9.0,23.0,2.0,1.0,24.0,11.0,23.0,18.0,3.0,3.0,1228.9152072470179,1190.3715132952295,86.46080900335187,47.91711505156351,8.0,8.333333333333334,5.0,2.0,46.666666666666664,2.6666666666666665,1.0,2.3333333333333335,3.0,3.3333333333333335,21.0,,,,,,,,2.0,3.0,,,1.75,3.48,4.5
SE8BPxSs,2020,2020-09-20 18:45:00,,UTA Arad,Poli Iasi,2,3,,,9.0,10.0,3.0,6.0,6.0,4.0,3.0,2.0,3,3,0,0,16.0,12.0,1.0,1.0,13.0,17.0,26.0,23.0,3.0,1.0,1201.0317013104582,1172.2667358614444,76.49919952317236,47.734234074158536,9.0,6.666666666666667,2.3333333333333335,3.3333333333333335,,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,3.6666666666666665,8.0,9.666666666666666,5.666666666666667,5.666666666666667,52.0,0.6666666666666666,2.6666666666666665,1.0,2.3333333333333335,2.3333333333333335,,,2.18,3.11,3.35
Gzug7eCD,2020,2020-09-20 21:30:00,,FCSB,FC Arges,3,0,53.0,47.0,13.0,8.0,7.0,4.0,6.0,4.0,3.0,2.0,1,1,0,0,18.0,14.0,0.0,1.0,15.0,18.0,9.0,30.0,4.0,4.0,1224.2969721904576,1175.6497246162075,95.46896272380673,46.821715149556674,8.0,15.333333333333334,8.666666666666666,7.666666666666667,60.0,2.3333333333333335,0.6666666666666666,2.0,1.0,2.3333333333333335,9.0,6.0,4.333333333333333,4.0,,1.0,2.0,0.3333333333333333,2.3333333333333335,3.0,,,1.88,4.18,3.4
Q5MqUIJQ,2020,2020-09-21 21:00:00,,Gaz Metan Medias,Dinamo Bucuresti,1,3,,,6.0,10.0,5.0,5.0,1.0,5.0,4.0,1.0,4,2,0,0,17.0,22.0,4.0,3.0,25.0,21.0,28.0,28.0,2.0,4.0,1222.7347343726863,1189.5296841994134,80.9775720507655,47.772521877492714,9.0,6.0,3.6666666666666665,3.0,47.666666666666664,2.3333333333333335,1.0,2.0,2.0,4.666666666666667,10.0,8.333333333333334,4.333333333333333,4.666666666666667,,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,,,3.68,3.24,2.01
SnnvRk3n,2020,2020-09-25 18:00:00,,FC Voluntari,Sepsi Sf. Gheorghe,1,2,,,7.0,9.0,5.0,5.0,2.0,4.0,3.0,6.0,0,4,0,0,10.0,8.0,3.0,2.0,10.0,13.0,18.0,22.0,3.0,4.0,1211.0325636904186,1189.393955300858,68.10764090772454,46.46903251816384,5.0,7.5,3.5,4.0,,1.25,1.0,1.75,2.75,2.75,5.0,8.0,4.0,7.0,50.0,0.75,1.0,0.75,2.75,2.75,,,2.76,3.04,2.57
OGWOKEtD,2020,2020-09-25 21:00:00,,FC Arges,Univ. Craiova,1,2,44.0,56.0,9.0,7.0,3.0,3.0,6.0,4.0,6.0,4.0,2,1,0,0,14.0,10.0,4.0,2.0,12.0,18.0,27.0,20.0,1.0,2.0,1162.9723015770603,1248.3908165070172,-39.84464984150668,45.573865088450184,4.0,6.5,4.25,3.5,48.666666666666664,0.75,2.25,0.25,2.0,3.25,5.0,11.25,6.25,5.0,,2.25,0.5,3.0,0.75,2.0,,,6.72,4.24,1.44
IyuiOmm5,2020,2020-09-26 14:45:00,,LPS HD Clinceni,Gaz Metan Medias,2,0,51.0,49.0,8.0,6.0,3.0,1.0,5.0,5.0,5.0,5.0,4,2,0,0,23.0,15.0,2.0,4.0,19.0,25.0,18.0,28.0,1.0,1.0,1192.809926327296,1205.3548762483013,32.36455165687107,44.90950157787647,5.0,6.333333333333333,3.0,4.0,,1.0,1.3333333333333333,0.6666666666666666,3.0,3.0,4.0,6.0,4.0,3.25,47.666666666666664,2.0,1.5,1.5,2.5,4.0,,,2.44,3.0,2.97
df0SLfR6,2020,2020-09-26 21:30:00,,FC Viitorul,Astra Giurgiu,4,1,,,11.0,9.0,8.0,3.0,3.0,6.0,3.0,3.0,2,0,0,0,13.0,19.0,1.0,3.0,22.0,14.0,9.0,16.0,2.0,4.0,1168.8092215528409,1154.3910523089169,60.28981246650392,45.871643222579856,7.0,8.75,3.25,4.25,46.25,0.75,2.25,0.5,2.0,3.25,8.0,4.25,2.0,5.0,42.0,0.5,2.25,0.25,3.75,5.5,,,1.7,3.64,4.62
l2zmPTXb,2020,2020-09-27 19:00:00,,CFR Cluj,Chindia Targoviste,0,0,60.0,40.0,10.0,7.0,3.0,2.0,7.0,5.0,5.0,1.0,4,4,0,0,14.0,14.0,3.0,3.0,17.0,17.0,36.0,25.0,2.0,3.0,1231.7542558932892,1183.5911342170268,95.11061916670474,46.94749749044251,8.0,10.25,4.75,6.75,61.5,1.25,0.25,2.5,1.75,0.5,9.0,8.333333333333334,2.0,6.0,45.666666666666664,0.6666666666666666,1.3333333333333333,1.0,3.3333333333333335,1.6666666666666667,,,1.32,4.5,10.01
EqrzSVmt,2020,2020-09-27 21:45:00,,Poli Iasi,FCSB,5,2,53.0,47.0,15.0,8.0,9.0,4.0,6.0,4.0,4.0,4.0,5,5,0,1,16.0,16.0,2.0,0.0,16.0,18.0,12.0,27.0,2.0,4.0,1184.433654856136,1236.9743952296049,-5.793576205335512,46.747164168133324,7.0,9.75,5.75,4.75,52.0,1.25,2.5,1.5,2.5,2.0,7.0,14.75,8.25,6.5,58.25,2.5,0.5,2.25,1.0,2.75,,,2.84,3.38,2.32
AByqQ9Ih,2020,2020-09-28 18:00:00,,FC Hermannstadt,FC Botosani,2,1,47.0,53.0,7.0,7.0,2.0,5.0,5.0,2.0,6.0,7.0,6,5,0,0,23.0,25.0,1.0,0.0,25.0,24.0,15.0,28.0,4.0,0.0,1207.8407274367178,1226.4767942149515,29.431795276764205,48.067862054998024,10.0,6.25,3.25,2.75,,1.5,1.25,1.25,2.25,3.75,8.0,8.75,4.5,3.5,48.5,2.0,0.75,2.0,2.5,3.25,,,3.3,3.15,2.18
